profit,is_bad,is_poor,is_fine,is_good,is_excellent,year,budget,run_time,rating,open_theater_count,release,is_A24,is_Drama,is_Comedy,is_Thriller,is_Action,is_Adventure,is_Sci-Fi
41.579801,0,0,1,0,0,2020,7.0,109,6.6,2784.0,20200214,0,0,0,0,0,1,0
-7.678919,0,1,0,0,0,2020,45.0,109,5.7,2861.0,20200313,0,0,0,0,1,1,1
-3.22004,0,1,0,0,0,2020,8.0,108,6.3,2301.649025,20200911,0,0,1,0,0,0,0
-15.541779,0,1,0,0,0,2020,60.0,103,5.2,1736.0,20201218,0,0,0,0,1,1,0
-4.569018,0,1,0,0,0,2020,6.0,104,5.8,2301.649025,20200228,0,1,1,0,0,0,0
-8.114776,0,1,0,0,0,2020,9.0,118,6.7,912.0,20201120,0,1,0,0,0,0,0
91.876604,0,0,0,1,0,2020,22.0,113,6.447046414,2165.0,20200124,0,0,1,0,1,0,0
8.976477,0,0,1,0,0,2020,10.0,86,4.7,2301.649025,20200221,0,1,0,1,0,0,0
7.466091,0,0,1,0,0,2020,3.0,93,5.8,357.0,20200228,0,0,1,0,0,0,0
17.059211,0,0,1,0,0,2020,5.0,87,5.5,3007.0,20200131,0,0,0,1,0,0,0
-18.733391,0,1,0,0,0,2020,25.0,91,5.9,2301.649025,20200828,0,0,1,0,0,1,1
76.410631,0,0,1,0,0,2020,175.0,101,5.6,2301.649025,20200117,0,0,1,0,0,1,0
6.460739,0,0,1,0,0,2020,12.0,94,3.9,2301.649025,20200124,0,1,0,0,0,0,0
5.704381,0,0,1,0,0,2020,15.0,106,6.1,2301.649025,20200214,0,1,0,0,0,0,0
131.996774,0,0,0,1,0,2020,7.0,124,7.1,3610.0,20200228,0,1,0,1,0,0,1
-5.799021,0,1,0,0,0,2020,18.2,90,6.5,2301.649025,20200313,0,0,0,1,1,0,0
10.244416,0,0,1,0,0,2020,6.0,101,6.3,2472.0,20201113,0,0,1,1,0,0,0
149.877172,0,0,0,1,0,2020,65.0,95,6.9,2301.649025,20201125,0,0,1,0,0,1,0
-22.984528,0,1,0,0,0,2020,25.0,91,6.3,970.0,20201204,0,1,0,0,0,0,0
-25.331675,0,1,0,0,0,2020,38.0,118,6.8,2301.649025,20201225,0,1,0,0,0,1,0
-66.68297,1,0,0,0,0,2020,200.0,102,7.4,4310.0,20200306,0,0,1,0,0,1,1
157.450957,0,0,0,1,0,2020,205.0,150,7.3,2301.649025,20200903,0,0,0,1,1,0,1
119.85214,0,0,0,1,0,2020,82.0,109,6.1,4236.0,20200207,0,0,1,0,1,0,0
-33.639768,0,1,0,0,0,2020,200.0,151,5.4,2151.0,20201225,0,0,0,0,1,1,0
21.1253,0,0,1,0,0,2021,100.0,131,6.3,3180.0,20211222,0,0,0,1,1,1,0
-24.988743,0,1,0,0,0,2021,100.0,156,7.1,2301.649025,20211210,0,1,0,0,0,0,0
223.496495,0,0,0,0,1,2021,100.0,115,7.1,4165.0,20210813,0,0,1,0,1,1,1
-69.944767,1,0,0,0,0,2021,100.0,153,7.4,2301.649025,20211015,0,1,0,1,1,0,0
-0.001006,0,1,0,0,0,2021,5.0,90,6.5,1468.0,20210630,1,1,1,0,0,0,0
3.86996,0,0,1,0,0,2021,15.0,130,6.6,2301.649025,20210730,1,1,0,0,0,1,0
-5.018137,1,0,0,0,0,2021,8.3,108,7.4,5.0,20211124,1,1,0,0,0,0,0
0.570226,0,1,0,0,0,2021,1.1,128,7.1,2301.649025,20211224,1,1,1,0,0,0,0
0.324771,0,1,0,0,0,2021,0.2,105,7.1,2301.649025,20220114,1,1,0,1,0,0,0
0.163362,0,1,0,0,0,2021,3.0,100,5.9,2301.649025,20210402,0,1,0,0,0,0,0
-13.469932,0,1,0,0,0,2021,20.0,113,6.9,1254.0,20210521,0,1,1,0,0,0,0
-0.461795,0,1,0,0,0,2021,2.3,105,5.7,2301.649025,20210214,0,1,0,1,0,0,0
0.2403,0,1,0,0,0,2021,1.0,140,7.7,534.0,20210618,0,0,1,0,0,0,0
-2.756985,0,1,0,0,0,2021,20.0,140,6.6,2301.649025,20210730,0,1,0,1,0,0,0
2.170075,0,0,1,0,0,2021,1.0,89,6.5,1231.0,20240216,0,0,0,1,1,0,0
-20.118275,0,1,0,0,0,2021,43.0,116,7.0,2301.649025,20211029,0,1,0,1,0,0,0
-9.285745,0,1,0,0,0,2021,10.0,124,7.3,543.0,20210129,0,1,0,0,0,0,0
-2.682908,0,1,0,0,0,2021,5.0,100,6.3,2301.649025,20210611,0,1,1,0,0,0,0
-24.86887,0,1,0,0,0,2021,29.0,108,5.5,1972.0,20210409,0,0,0,1,0,1,1
19.522047,0,0,1,0,0,2021,20.0,93,5.2,2301.649025,20210514,0,0,0,1,0,0,0
-2.605445,0,1,0,0,0,2021,70.0,100,6.1,2301.649025,20210616,0,0,1,1,1,0,0
1.514814,0,1,0,0,0,2021,25.0,112,7.1,2813.0,20211225,0,1,0,0,0,0,0
-72.92434,1,0,0,0,0,2021,100.0,109,5.7,2301.649025,20210305,0,0,0,0,1,1,1
0.854879,0,1,0,0,0,2021,3.0,92,6.9,2301.649025,20210716,0,1,0,0,0,0,0
-101.452121,1,0,0,0,0,2021,118.0,117,6.6,2301.649025,20211105,0,1,0,0,0,0,0
-1.802726,0,1,0,0,0,2021,23.0,108,5.7,1975.0,20210115,0,1,0,1,1,0,0
235.667589,0,0,0,0,1,2021,61.0,97,7.2,2301.649025,20210528,0,1,0,1,0,0,1
-47.935675,1,0,0,0,0,2021,88.0,121,5.4,3521.0,20210723,0,0,0,1,1,1,1
14.000755,0,0,1,0,0,2021,64.0,96,5.9,3700.0,20211110,0,0,1,0,0,1,0
2.001227,0,0,1,0,0,2021,24.0,111,7.2,2301.649025,20210319,0,1,0,1,0,0,0
-22.461993,0,1,0,0,0,2021,60.0,150,7.0,2301.649025,20211217,0,1,0,1,0,0,0
